date,symbol,side,entry_time,entry_close,exit_close,pnl_same_day
2025-08-18,RELIANCE,BUY,2025-08-18 09:30:00+05:30,1393.10,1382.90,-10.20
2025-08-19,RELIANCE,BUY,2025-08-19 10:00:00+05:30,1413.30,1421.00,7.70
2025-08-20,RELIANCE,BUY,2025-08-20 09:30:00+05:30,1418.70,1412.00,-6.70
2025-08-21,RELIANCE,BUY,2025-08-21 09:45:00+05:30,1430.10,1424.30,-5.80
2025-08-22,RELIANCE,SELL,2025-08-22 12:00:00+05:30,1413.90,1409.90,4.00
2025-08-18,TCS,SELL,2025-08-18 12:00:00+05:30,3004.50,3013.00,-8.50
2025-08-20,TCS,BUY,2025-08-20 09:30:00+05:30,3037.40,3094.80,57.40
2025-08-22,TCS,SELL,2025-08-22 09:30:00+05:30,3076.20,3054.70,21.50
2025-08-18,INFY,SELL,2025-08-18 10:15:00+05:30,1441.70,1436.00,5.70
2025-08-19,INFY,BUY,2025-08-19 11:30:00+05:30,1444.80,1442.50,-2.30
2025-08-20,INFY,BUY,2025-08-20 09:45:00+05:30,1464.90,1495.10,30.20
2025-08-22,INFY,SELL,2025-08-22 10:00:00+05:30,1491.40,1487.90,3.50
2025-08-20,RELIANCE,SELL,2025-08-20 11:30:00+05:30,1419.10,1412.00,7.10
2025-08-21,RELIANCE,BUY,2025-08-21 09:55:00+05:30,1430.10,1424.30,-5.80
2025-08-22,RELIANCE,SELL,2025-08-22 11:15:00+05:30,1413.90,1409.90,4.00
2025-08-20,TCS,BUY,2025-08-20 11:25:00+05:30,3065.80,3094.80,29.00
2025-08-22,TCS,SELL,2025-08-22 09:30:00+05:30,3079.00,3054.70,24.30
2025-08-20,INFY,BUY,2025-08-20 11:40:00+05:30,1484.50,1495.10,10.60
2025-08-22,INFY,SELL,2025-08-22 09:50:00+05:30,1491.10,1487.90,3.20
2025-08-20,HDFCBANK,BUY,2025-08-20 12:50:00+05:30,1984.70,1988.30,3.60
2025-08-21,HDFCBANK,SELL,2025-08-21 09:35:00+05:30,1983.70,1990.50,-6.80
2025-08-22,HDFCBANK,SELL,2025-08-22 09:30:00+05:30,1974.90,1965.50,9.40
2025-08-20,ICICIBANK,BUY,2025-08-20 12:15:00+05:30,1430.70,1430.00,-0.70
2025-08-21,ICICIBANK,BUY,2025-08-21 10:00:00+05:30,1444.50,1444.70,0.20
2025-08-22,ICICIBANK,SELL,2025-08-22 09:55:00+05:30,1431.60,1435.90,-4.30
2025-08-20,SBIN,SELL,2025-08-20 11:35:00+05:30,828.20,828.90,-0.70
2025-08-21,SBIN,BUY,2025-08-21 10:05:00+05:30,831.75,824.05,-7.70
2025-08-22,SBIN,SELL,2025-08-22 09:30:00+05:30,822.10,816.80,5.30
2025-08-21,HDFCBANK,SELL,2025-08-21 15:00:00+05:30,1990.30,1990.50,-0.20
2025-08-22,HDFCBANK,SELL,2025-08-22 09:30:00+05:30,1975.00,1965.50,9.50
2025-08-21,ICICIBANK,BUY,2025-08-21 14:15:00+05:30,1445.30,1444.70,-0.60
2025-08-22,ICICIBANK,SELL,2025-08-22 09:45:00+05:30,1431.60,1435.90,-4.30
2025-08-21,SBIN,SELL,2025-08-21 14:45:00+05:30,826.65,824.05,2.60
2025-08-22,SBIN,SELL,2025-08-22 09:30:00+05:30,822.75,816.80,5.95
