bb_n,bb_k,atr_sl,atr_tp,trades,total_return,cagr,max_drawdown,sharpe
20,1.5,1.0,1.5,6,-0.0023125210194638868,-0.0028145349106440953,-0.49587645296514027,1.188425034913883
20,1.5,1.5,1.5,6,-0.0011989654659203541,-0.0014594198530991642,-0.4950776471802666,1.1880858703236499
20,1.5,1.0,2.0,6,-0.0017365891751877083,-0.002113709321692414,-0.4954785182777005,1.1880783472043435
20,1.5,1.5,2.0,6,-0.0004154145140898846,-0.0005056991794315513,-0.4945774634053869,1.18762703763008
14,2.0,1.0,1.5,5,-0.002615850492774574,-0.0031836075669949837,-0.4962620542774029,1.084356057782101
14,2.0,1.0,2.0,5,-0.0023925324544427085,-0.002911890275041018,-0.496038736239071,1.0843265396060993
14,2.0,1.5,1.5,5,-0.0019418330066343081,-0.0023634714033439197,-0.4955880367912626,1.0842049054093192
14,2.0,1.5,2.0,5,-0.0015108958607481515,-0.0018390492908411105,-0.49515709964537646,1.0841051394161083
14,1.5,1.5,1.5,8,-0.49692031903793343,-0.5667134513787648,-0.4974655838839567,1.078259680158648
14,1.5,1.0,1.5,8,-0.49648347817879057,-0.5662553803165495,-0.4970289421065103,1.078060348821852
14,1.5,1.5,2.0,7,-0.49544823178659725,-0.5651694766733266,-0.49625355781350067,0.9656588912221094
14,1.5,1.0,2.0,7,-0.49518989001223124,-0.5648984180116596,-0.49599546667025685,0.9655577428361047
