bb_n,bb_k,atr_sl,atr_tp,trades,total_return,cagr,max_drawdown,sharpe
14,1.6,1.5,1.5,45,-0.04607410676667789,-0.17780637383829678,-0.6025428697608384,1.410059800650687
14,1.6,1.5,2.0,45,-0.044688709292421414,-0.1728389079872401,-0.6020180554654535,1.4091652781872261
14,1.6,1.0,1.5,45,-0.040310937544681624,-0.15699216805261096,-0.5994218122476291,1.4052820493019924
14,1.6,1.0,2.0,45,-0.039348925437020954,-0.15347919434639845,-0.5993203833188396,1.4046600684589163
20,1.6,1.5,1.5,32,-0.017977483491932178,-0.07253074220419797,-0.5802143628895735,1.1785596469439115
20,1.6,1.0,1.5,32,-0.013561212460682981,-0.05509594063499679,-0.5793900918002202,1.1777764112436264
20,1.6,1.5,2.0,32,-0.01567415914437531,-0.06346830316282459,-0.5770990923284889,1.1365190215826912
20,1.6,1.0,2.0,32,-0.011517094538828876,-0.046942356696805576,-0.5765803931527557,1.1364663290892059
14,2.0,1.5,1.5,25,-0.02374042034230628,-0.09491347038041298,-0.5902949817189612,1.0500346295322933
14,2.0,1.5,2.0,25,-0.02677938649344347,-0.10655012415245102,-0.5895098358367622,1.0497601466461088
14,2.0,1.0,1.5,25,-0.020389723924225,-0.08195018941340293,-0.5878466551610231,1.0478956295204866
14,2.0,1.0,2.0,25,-0.022952303463716572,-0.0918769567562081,-0.5870615092788238,1.0475797404818445
30,1.6,1.5,1.5,23,-0.015463232025385687,-0.06263506305577948,-0.5791852695679642,0.9994765949554564
30,1.6,1.5,2.0,23,-0.014797975209325132,-0.06000336594900069,-0.5796724310044927,0.9984212313350812
30,1.6,1.0,1.5,23,-0.010554605660568872,-0.0430847372858818,-0.5764902509109847,0.9970097144030275
30,1.6,1.0,2.0,23,-0.009889348844508317,-0.04041149393290866,-0.5768787494341786,0.9959601947047818
20,2.0,1.5,2.0,19,-0.018672938750300627,-0.075253884301966,-0.5831474806924145,0.9092228814847464
20,2.0,1.5,1.5,19,-0.014284175686450573,-0.05796698498896402,-0.5838622789450233,0.9085929938396674
20,2.0,1.0,2.0,19,-0.014281586191951079,-0.05795671337385333,-0.5805846976106264,0.9068320086888895
20,2.0,1.0,1.5,19,-0.01036920973974631,-0.0423403180880475,-0.5810157627540624,0.9062848892435547
30,2.0,1.5,1.5,18,-0.008412118850444683,-0.03445517987518898,-0.5783963363711071,0.8843842146196396
30,2.0,1.0,1.5,18,-0.0072488141886434265,-0.0297449208127345,-0.5769096465321741,0.8834399050308964
30,2.0,1.5,2.0,19,-0.009824152038058975,-0.04014920484112827,-0.5775862409691479,0.8827538100272945
30,2.0,1.0,2.0,19,-0.006241686671802582,-0.025652959497381222,-0.5750281431501867,0.881192537975598
30,2.4,1.5,1.5,13,-0.008567724238819241,-0.03508391258134114,-0.579099563980907,0.7230008278319635
30,2.4,1.0,1.5,13,-0.008220775875881103,-0.03368162110351458,-0.5790099333486993,0.7223074255220128
30,2.4,1.5,2.0,12,-0.005183210435080743,-0.02133826355218671,-0.5784014274292002,0.7222169300396308
30,2.4,1.0,2.0,12,-0.005612917369031356,-0.023091634867646538,-0.57762263455516,0.7215305732301082
20,2.4,1.5,1.5,11,-0.007674348060699665,-0.03146994003912795,-0.5798649063201192,0.6922254360671369
20,2.4,1.5,2.0,11,-0.006504324554198582,-0.02672131798306454,-0.5794107479167632,0.6917433686032729
20,2.4,1.0,1.5,11,-0.004727001967528177,-0.01947414245399992,-0.5777845383264095,0.691377247642717
20,2.4,1.0,2.0,11,-0.0035569784610264277,-0.014680968838028607,-0.5773321271160059,0.6908978975403124
14,2.4,1.5,1.5,10,-0.009560109301011255,-0.03908639489816679,-0.5817265793602987,0.6566885391955767
14,2.4,1.5,2.0,10,-0.008774963418812232,-0.03592079203262044,-0.5809414334780998,0.6563824231779054
14,2.4,1.0,1.5,10,-0.007735857306201965,-0.031719092070313204,-0.5794928907941355,0.6561880641766796
14,2.4,1.0,2.0,10,-0.006950711424002609,-0.028535090408428387,-0.5787441576777962,0.6558831999743245
