bb_n,bb_k,atr_sl,atr_tp,trades,total_return,cagr,max_drawdown,sharpe
14,1.6,1.0,1.5,11,-0.0043166789298227926,-0.05486870151913226,-0.5609437532283937,1.224743018234851
14,1.6,1.0,2.0,11,-0.0046816217686667105,-0.05937759064592052,-0.5606893360826024,1.2246013672439429
14,1.6,1.5,1.5,11,-0.0027503438422089577,-0.0352889776526889,-0.5598810883100714,1.2239821530722428
14,1.6,1.5,2.0,11,-0.0031152866810528757,-0.03988406206048578,-0.5596268135327516,1.223840398986642
20,1.6,1.0,1.5,9,-0.0017189851109918886,-0.022192874744130897,-0.5605912556018253,1.0456241759721168
20,1.6,1.0,2.0,9,-0.0026770489292702315,-0.03436365837515043,-0.5606881195365039,1.0453707715903524
20,1.6,1.5,1.5,8,0.002471717254676653,0.03272701092630226,-0.5569720624431348,0.9768224404598809
20,1.6,1.5,2.0,8,0.001513653436398199,0.019926065591107767,-0.5572952107731433,0.9766042030885096
20,2.0,1.5,1.5,6,-0.0027649084549542513,-0.03547275258968818,-0.5612471044127989,0.9052492382720693
20,2.0,1.5,2.0,6,-0.002451112531404065,-0.03150614161527132,-0.5610715541225012,0.905040411938363
20,2.0,1.0,1.5,6,-0.0019699035202810355,-0.025394037962113036,-0.5599690356529592,0.9048873427413339
20,2.0,1.0,2.0,6,-0.0016561075967310712,-0.02138917711489008,-0.5597938851247986,0.9046791393354368
30,1.6,1.5,1.5,5,-0.005398076079993097,-0.06817170743001044,-0.5638277887079575,0.8271571870600343
30,1.6,1.0,1.5,5,-0.0041521812733580354,-0.05282980599861742,-0.5628991161679868,0.8271265598703954
30,1.6,1.5,2.0,5,-0.005084773121558528,-0.0643354535596945,-0.5635144857495231,0.8269748859393169
30,1.6,1.0,2.0,5,-0.003838878314923466,-0.04893527865473657,-0.5625858132095523,0.8269447281314934
14,2.0,1.5,1.5,5,0.00037129656273582334,0.004854276110676681,-0.5573444161135024,0.8216387263838011
14,2.0,1.0,1.5,5,0.0005786005287973239,0.007573993239782473,-0.5573444161135024,0.8215854014576203
14,2.0,1.5,2.0,5,0.0006850924862860097,0.00897375178249793,-0.5571700865298392,0.8214772644992027
14,2.0,1.0,2.0,5,0.0008923964523475103,0.011703761179632455,-0.5571700865298392,0.8214240849886054
