fast,slow,atr_sl,atr_tp,trades,total_return,cagr,max_drawdown,sharpe
5,21,0.9,1.6,12,-0.012635150045686716,-0.15284461177041408,-0.7223877951196014,1.097984364064215
5,21,0.9,1.8,12,-0.012635150045686716,-0.15284461177041408,-0.7223877951196014,1.097984364064215
5,21,0.9,2.0,12,-0.012581842499839513,-0.1522477860779703,-0.7223535855894918,1.097950315422444
5,21,1.0,1.6,12,-0.010643751676544966,-0.13028363252633535,-0.7210213092606814,1.0970564478573568
5,21,1.0,1.8,12,-0.010643751676544966,-0.13028363252633535,-0.7210213092606814,1.0970564478573568
5,21,1.0,2.0,12,-0.010590444130697985,-0.12967214619506484,-0.7209870997305721,1.0970225870471997
7,21,1.0,1.6,11,-0.012429310214959965,-0.1505379051819935,-0.7220385651152471,1.0759491504924323
7,21,1.0,1.8,11,-0.012249648486119313,-0.14851982020086785,-0.7219232290871944,1.0758315913679357
7,21,0.9,1.6,11,-0.012072607368945776,-0.14652684209419353,-0.7217570606913275,1.0757647994705302
7,21,0.9,1.8,11,-0.011892945640105013,-0.1444999608420574,-0.7216417028910047,1.0756473481992341
7,21,1.0,2.0,11,-0.011805731579305534,-0.14351444048498918,-0.7216382512393931,1.0754204308070534
7,21,0.9,2.0,11,-0.011449028733291344,-0.13947277097074218,-0.7213566712472232,1.075236541468477
5,34,1.0,1.6,10,-0.01153993717673174,-0.14050449004168952,-0.7229139132165526,0.9612566531364405
5,34,1.0,1.8,10,-0.011360275447890755,-0.13846440770807122,-0.7227985771884998,0.9611824346379098
5,34,0.9,1.6,10,-0.01087382923383906,-0.13291828450435939,-0.7224339101807439,0.9609190105036409
5,34,0.9,1.8,10,-0.01069416750499863,-0.1308615831930212,-0.7223185523804213,0.9608449720093173
5,34,1.0,2.0,9,-0.009660989189164804,-0.1189464415064978,-0.7217076997441463,0.9356565607846
5,34,0.9,2.0,9,-0.009076291277374304,-0.11213675777018128,-0.7212797410319083,0.9353629426198841
9,21,1.0,1.6,8,-0.008834497637040362,-0.10930653107636368,-0.7217070060312338,0.9101289086986655
