orb_mins,atr_sl,atr_tp,trades,total_return,cagr,max_drawdown,sharpe
15,1.0,1.5,376,-0.30117239319022626,-0.7740318163361315,-0.9049617176646791,1.4638432113243751
15,1.0,2.0,332,-0.26694551929337407,-0.7244256311444022,-0.8829132322219138,1.4386199379037476
15,1.2,1.5,332,-0.2700336074429617,-0.7292121187414735,-0.8854757073560299,1.3362424060241709
15,1.2,2.0,290,-0.2331114469297495,-0.6676670775689675,-0.8616881432205388,1.2943577505631425
30,1.0,1.5,207,-0.16751500954061282,-0.5327849013116132,-0.8210246060051578,1.1151545689473668
30,1.0,2.0,177,-0.14277311952298566,-0.4723943019024128,-0.8050842695980924,1.1034008643232007
30,1.2,1.5,187,-0.15511201841242261,-0.5032077548341681,-0.8135985352490613,1.0473180991738673
30,1.2,2.0,162,-0.13327559985558912,-0.4477052043828008,-0.7995284293627126,1.0251801466489174
45,1.0,1.5,76,-0.06627986789058193,-0.24771487017754856,-0.7536122779713216,0.7738287247987159
45,1.2,1.5,74,-0.06388499222639188,-0.2396738586498136,-0.7524159935866255,0.7551921096780947
45,1.0,2.0,71,-0.06346013473994394,-0.23824057538699517,-0.7528224833865754,0.7522097644705558
45,1.2,2.0,67,-0.05890601721194044,-0.22274780946228656,-0.7503203219007313,0.719058792108542
