ts,mode,symbol,side,ordertype,qty,price,triggerprice,orderid,note,ordertag
2025-08-31 21:05:04,DRY,NIFTY09SEP2522600CE,SELL,LIMIT,75,97.10,,,preview_primary,OCO-NIFTY09SEP25226
2025-08-31 21:05:04,DRY,NIFTY09SEP2522600PE,SELL,LIMIT,75,172.55,,,preview_primary,OCO-NIFTY09SEP25226
2025-08-31 21:14:56,DRY,NIFTY09SEP2522600CE,SELL,LIMIT,75,205.85,,DRYV2AG8O0,preview_primary,OCO-NIFTY09SEP25226
2025-08-31 21:14:56,DRY,NIFTY09SEP2522600PE,SELL,LIMIT,75,82.95,,DRYXOR58FU,preview_primary,OCO-NIFTY09SEP25226
2025-08-31 21:20:17,LIVE,NIFTY09SEP2524450CE,SELL,LIMIT,75,188.05,,08314ea48962AO,primary,OCO-NIFTY09SEP25244
2025-08-31 21:20:17,LIVE,NIFTY09SEP2524450PE,SELL,LIMIT,75,141.30,,083176cf2455AO,primary,OCO-NIFTY09SEP25244
2025-08-31 21:25:18,LIVE,NIFTY09SEP2524450CE,SELL,LIMIT,75,188.05,,0831e9439a30AO,primary,OCO-NIFTY09SEP25244
2025-08-31 21:25:18,LIVE,NIFTY09SEP2524450PE,SELL,LIMIT,75,141.30,,0831017b5da7AO,primary,OCO-NIFTY09SEP25244
2025-08-31 23:01:45,LIVE,NIFTY09SEP2524450CE,SELL,LIMIT,75,188.05,,083183deadc7AO,primary,OCO-NIFTY09SEP25244
2025-08-31 23:01:46,LIVE,NIFTY09SEP2524450PE,SELL,LIMIT,75,141.30,,083168ceb44aAO,primary,OCO-NIFTY09SEP25244
2025-08-31 23:06:00,LIVE,NIFTY09SEP2524450CE,SELL,LIMIT,75,188.05,,083175f38457AO,primary,OCO-NIFTY09SEP25244
2025-08-31 23:06:01,LIVE,NIFTY09SEP2524450PE,SELL,LIMIT,75,141.30,,083117a9a952AO,primary,OCO-NIFTY09SEP25244
2025-08-31 23:15:03,LIVE,NIFTY09SEP2524450CE,SELL,LIMIT,75,188.05,,0831b5094245AO,primary,OCO-NIFTY09SEP25244
2025-08-31 23:15:06,LIVE,NIFTY09SEP2524450PE,SELL,LIMIT,75,141.30,,0831414d2afdAO,primary,OCO-NIFTY09SEP25244
